country;year;uneducated;primary;secondary;tertiary;years of education total;years education primary;years education secondary;years education tertiary;population in thousands;region
;1875;79,3;20,4;0,2;0,1;0,86;0,85;0,01;0;3096;Advanced Economies
;1880;76,6;23,1;0,3;0,1;0,99;0,97;0,02;0;3037;Advanced Economies
;1885;73,8;25,8;0,3;0,1;1,12;1,09;0,02;0;2958;Advanced Economies
;1890;69,9;29,5;0,5;0,1;1,3;1,27;0,03;0;2874;Advanced Economies
;1895;65,6;33,6;0,6;0,1;1,5;1,46;0,03;0;2836;Advanced Economies
;1900;61,5;37,6;0,8;0,2;1,7;1,65;0,04;0,01;2822;Advanced Economies
;1905;56,7;42,1;1;0,2;1,94;1,88;0,06;0,01;2719;Advanced Economies
;1910;52,4;45,5;1,8;0,3;2,21;2,1;0,1;0,01;2649;Advanced Economies
;1915;47,4;49,6;2,6;0,4;2,52;2,36;0,15;0,01;2598;Advanced Economies
;1920;42,4;53,4;3,6;0,6;2,85;2,63;0,21;0,02;2666;Advanced Economies
;1925;37,3;54,7;7;0,9;3,35;2,93;0,39;0,03;1835;Advanced Economies
;1930;32,1;57,9;8,6;1,4;3,78;3,24;0,5;0,04;1819;Advanced Economies
;1935;24,4;62,3;11,7;1,7;4,4;3,67;0,67;0,05;1862;Advanced Economies
;1940;15,8;67,2;14,9;2,1;5,11;4,18;0,87;0,06;1868;Advanced Economies
;1945;9,7;69,2;18,3;2,9;5,74;4,55;1,1;0,09;1819;Advanced Economies
;1950;5,2;68,4;23,1;3,4;6,42;4,93;1,38;0,11;1794;Advanced Economies
;1955;4,5;65,5;26,2;3,7;6,72;5,02;1,57;0,12;1728;Advanced Economies
;1960;4;62,5;29,5;4;6,98;5,09;1,76;0,13;1636;Advanced Economies
;1965;3,4;57,6;34,9;4,1;7,4;5,24;2,03;0,14;1657;Advanced Economies
;1970;3,3;52,2;39,3;5,3;8,05;5,61;2,26;0,18;1703;Advanced Economies
;1975;3,3;43,3;46,2;7,2;8,79;5,97;2,58;0,24;1836;Advanced Economies
;1980;1,9;35,2;53;9,8;9,69;6,41;2,95;0,33;1994;Advanced Economies
;1985;1,7;28,6;56,3;13,4;10,37;6,71;3,21;0,45;2115;Advanced Economies
;1990;1,7;23,3;57,4;17,6;10,64;6,6;3,44;0,59;2156;Advanced Economies
;1995;4,1;18,3;54,8;22,8;10,8;6,46;3,57;0,77;2320;Advanced Economies
;2000;4,2;14,7;55,2;26;11,03;6,43;3,72;0,88;2553;Advanced Economies
;2005;0,6;12;55,4;32;11,8;6,68;4,03;1,08;2859;Advanced Economies
;2010;0,6;11,2;44,5;43,7;12,45;6,84;4,14;1,48;3027;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Italy;1870;71,9;27,9;0,2;0,2;0,86;0,84;0,02;0;16732;Advanced Economies
;1875;69,4;30,3;0,2;0,2;0,94;0,91;0,02;0,01;17910;Advanced Economies
;1880;65,3;34,3;0,3;0,2;1,07;1,03;0,03;0,01;17841;Advanced Economies
;1885;60,7;38,7;0,3;0,3;1,21;1,17;0,03;0,01;18972;Advanced Economies
;1890;56,4;42,9;0,4;0,3;1,36;1,31;0,04;0,01;19381;Advanced Economies
;1895;52,5;46,7;0,6;0,3;1,5;1,44;0,05;0,01;19730;Advanced Economies
;1900;48,2;49,8;1,6;0,5;1,71;1,59;0,1;0,01;19349;Advanced Economies
;1905;44,7;52,6;2,1;0,6;1,89;1,74;0,14;0,02;20853;Advanced Economies
;1910;43,3;53,9;2,3;0,5;1,98;1,82;0,14;0,01;20575;Advanced Economies
;1915;38,6;57,7;3,2;0,5;2,24;2,04;0,19;0,02;23091;Advanced Economies
;1920;33,7;61,4;4,3;0,6;2,55;2,28;0,25;0,02;23434;Advanced Economies
;1925;29,1;64,9;5,4;0,7;2,85;2,53;0,3;0,02;24496;Advanced Economies
;1930;26,4;67,1;5,9;0,7;3,08;2,72;0,34;0,02;26017;Advanced Economies
;1935;23;69,1;7;0,9;3,36;2,92;0,41;0,03;26592;Advanced Economies
;1940;18,2;72,4;8,4;1;3,72;3,2;0,49;0,03;27955;Advanced Economies
;1945;13,7;74,8;10,2;1,2;4,15;3,5;0,62;0,04;29142;Advanced Economies
;1950;11,6;75,8;11,4;1,2;4,4;3,71;0,65;0,04;30817;Advanced Economies
;1955;9,9;73,9;14,5;1,7;4,71;3,85;0,81;0,05;32230;Advanced Economies
;1960;7,8;72,3;18,1;1,8;5,07;4,03;0,98;0,06;33092;Advanced Economies
;1965;5,9;70;21,9;2,3;5,43;4,18;1,17;0,07;34255;Advanced Economies
;1970;4,1;66;27,5;2,3;5,87;4,35;1,44;0,08;34735;Advanced Economies
;1975;4,9;56,6;35;3,5;6,45;4,45;1,89;0,11;35326;Advanced Economies
;1980;5,3;45,6;45,4;3,7;7,09;4,54;2,43;0,12;36445;Advanced Economies
;1985;5,9;38;51,1;4,9;7,63;4,57;2,9;0,16;38303;Advanced Economies
;1990;4,8;30,8;57,8;6,7;8,32;4,67;3,44;0,21;39029;Advanced Economies
;1995;3,8;23,2;64,5;8,5;9,04;4,73;4,04;0,27;39211;Advanced Economies
;2000;2,6;16,6;71,5;9,3;9,73;4,82;4,6;0,31;38943;Advanced Economies
;2005;2;13,1;74,2;10,7;10,2;4,87;4,98;0,35;38348;Advanced Economies
;2010;1,5;9;76,7;12,9;10,71;4,91;5,37;0,43;37921;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Japan;1870;80,5;19,5;0;0;0,53;0,53;0;0;20909;Advanced Economies
;1875;77,1;22,8;0;0;0,63;0,62;0,01;0;21744;Advanced Economies
;1880;73,2;26,7;0,1;0;0,75;0,74;0,01;0;22822;Advanced Economies
;1885;66,9;33;0,1;0;0,93;0,91;0,01;0;23458;Advanced Economies
;1890;55,5;44,4;0,1;0,1;1,26;1,24;0,02;0;24069;Advanced Economies
;1895;51,5;46,8;1,6;0,1;1,55;1,38;0,16;0;25404;Advanced Economies
;1900;43,5;54,3;2,1;0,1;1,85;1,63;0,22;0;26990;Advanced Economies
;1905;35,2;62,4;2,1;0,3;2,13;1,88;0,24;0,01;28665;Advanced Economies
;1910;29,2;68,2;2;0,5;2,47;2,26;0,2;0,01;30014;Advanced Economies
;1915;24,2;71,1;3,9;0,8;2,95;2,66;0,27;0,02;31756;Advanced Economies
;1920;18,2;67,7;12,6;1,6;3,92;3,2;0,68;0,04;32605;Advanced Economies
;1925;15,4;66,9;15,5;2,1;4,46;3,52;0,88;0,06;34792;Advanced Economies
;1930;11,6;68;17,9;2,6;4,96;3,87;1,02;0,07;37807;Advanced Economies
;1935;8,5;70,6;17,8;3,1;5,34;4,16;1,09;0,09;40484;Advanced Economies
;1940;5,7;72,5;18,1;3,6;5,66;4,45;1,11;0,1;42951;Advanced Economies
;1945;3,5;69,3;22,9;4,3;6,19;4,77;1,3;0,12;46783;Advanced Economies
;1950;3,5;58,7;33,2;4,7;6,86;5,14;1,59;0,13;49847;Advanced Economies
;1955;2,1;53,7;38,6;5,5;7,4;5,29;1,95;0,16;54908;Advanced Economies
;1960;1,1;50,7;42,1;6,1;7,77;5,39;2,2;0,18;60273;Advanced Economies
;1965;0,8;50,1;43,5;5,6;7,8;5,46;2,16;0,17;67056;Advanced Economies
;1970;0,3;47,2;44,4;8,2;8,25;5,56;2,44;0,25;71888;Advanced Economies
;1975;0,2;40,9;46,5;12,4;8,85;5,63;2,84;0,38;75625;Advanced Economies
;1980;0,2;33,7;48,8;17,3;9,6;5,7;3,37;0,52;78735;Advanced Economies
;1985;0,2;28;51,4;20,4;10,12;5,76;3,72;0,65;82390;Advanced Economies
;1990;0,1;22,3;53,4;24,1;10,71;5,82;4,12;0,77;85998;Advanced Economies
;1995;0,1;17;54,9;28;11,26;5,87;4,5;0,89;87189;Advanced Economies
;2000;0,1;13;54,9;32;11,77;5,9;4,84;1,03;86574;Advanced Economies
;2005;0,1;10,2;54,1;35,6;12,12;5,92;5,05;1,15;84888;Advanced Economies
;2010;0,1;7,7;54;38,1;12,44;5,94;5,25;1,25;81957;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Luxembourg;1870;99,2;0,8;0;0;0,04;0,04;0;0;119;Advanced Economies
;1875;98,9;1,1;0;0;0,05;0,05;0;0;124;Advanced Economies
;1880;98,7;1,3;0;0;0,06;0,06;0;0;128;Advanced Economies
;1885;98,3;1,7;0;0;0,08;0,07;0;0;133;Advanced Economies
;1890;97,8;2,2;0;0;0,1;0,09;0;0;138;Advanced Economies
;1895;97,3;2,7;0;0;0,12;0,12;0;0;142;Advanced Economies
;1900;96,6;3,4;0;0;0,15;0,15;0;0;147;Advanced Economies
;1905;96;4;0;0;0,18;0,18;0;0;152;Advanced Economies
;1910;95;5;0;0;0,22;0,22;0;0;157;Advanced Economies
;1915;94,2;5,6;0,2;0;0,27;0,26;0,01;0;169;Advanced Economies
;1920;93;6,2;0,8;0;0,36;0,32;0,03;0;172;Advanced Economies
;1925;91,8;7;1,1;0;0,44;0,39;0,05;0;188;Advanced Economies
;1930;90,1;8,3;1,6;0;0,56;0,48;0,08;0;204;Advanced Economies
;1935;77,5;17,1;4,9;0,5;1,4;1,14;0,25;0,01;202;Advanced Economies
;1940;66,1;25;8;1;2,18;1,73;0,43;0,03;209;Advanced Economies
;1945;56,8;31,3;10,7;1,3;2,83;2,21;0,58;0,04;206;Advanced Economies
;1950;44,1;38,8;15,1;2;3,85;2,95;0,84;0,06;208;Advanced Economies
;1955;34,7;43,7;18,9;2,7;4,65;3,47;1,09;0,09;213;Advanced Economies
;1960;28,9;46,2;21;3,9;5,22;3,79;1,31;0,12;213;Advanced Economies
;1965;19,2;49,6;26,1;5,2;6,19;4,38;1,64;0,16;220;Advanced Economies
;1970;8,6;53,1;31,6;6,8;7,27;5,03;2,03;0,22;222;Advanced Economies
;1975;1,3;52,7;37,3;8,7;8,21;5,48;2,45;0,28;236;Advanced Economies
;1980;2,4;47,2;40,6;9,9;8,55;5,49;2,74;0,32;245;Advanced Economies
;1985;3,7;41,6;43,8;10,9;8,83;5,47;3,01;0,35;255;Advanced Economies
;1990;4,4;36,2;46,5;13;9,24;5,48;3,35;0,41;265;Advanced Economies
;1995;5,5;31,2;48;15,3;9,57;5,47;3,61;0,49;276;Advanced Economies
;2000;6,7;24,8;52,2;16,4;9,92;5,45;3,93;0,54;293;Advanced Economies
;2005;6,2;20,3;50,7;22,9;10,59;5,51;4,33;0,75;313;Advanced Economies
;2010;5,3;15,9;48,4;30,3;11,33;5,59;4,74;1,01;335;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Netherlands;1870;28;71,6;0,3;0,1;2,94;2,91;0,02;0;2192;Advanced Economies
;1875;26,7;72,8;0,4;0,1;3,01;2,99;0,02;0;2296;Advanced Economies
;1880;25,2;74,2;0,5;0,2;3,11;3,07;0,03;0;2408;Advanced Economies
;1885;23,8;75,3;0,7;0,2;3,2;3,16;0,04;0,01;2553;Advanced Economies
;1890;22,7;76,2;0,8;0,3;3,28;3,23;0,05;0,01;2682;Advanced Economies
;1895;21,6;77,1;0,9;0,3;3,37;3,31;0,06;0,01;2848;Advanced Economies
;1900;20,5;78;1;0,4;3,46;3,39;0,06;0,01;3020;Advanced Economies
;1905;17,9;80,2;1,4;0,4;3,63;3,54;0,08;0,01;3289;Advanced Economies
;1910;15,5;82,3;1,8;0,5;3,8;3,69;0,1;0,01;3475;Advanced Economies
;1915;12,9;84,4;2,1;0,6;3,99;3,85;0,12;0,02;3864;Advanced Economies
;1920;9,4;88,6;1,6;0,5;4,16;4,06;0,09;0,01;4223;Advanced Economies
;1925;7,5;89,6;2,3;0,5;4,35;4,21;0,12;0,02;4593;Advanced Economies
;1930;6,1;90,5;2,7;0,6;4,5;4,34;0,14;0,02;5014;Advanced Economies
;1935;4,8;90;4,5;0,7;4,73;4,49;0,22;0,02;5410;Advanced Economies
;1940;3,3;89,7;6,3;0,8;4,95;4,64;0,29;0,02;5812;Advanced Economies
;1945;2,3;89;7,9;0,9;5,14;4,76;0,36;0,03;6124;Advanced Economies
;1950;2;87,8;9;1,1;6,14;5,69;0,41;0,04;6367;Advanced Economies
;1955;1,7;86,2;11;1,2;6,2;5,67;0,49;0,04;6635;Advanced Economies
;1960;1,3;84,7;12,9;1,1;6,25;5,67;0,54;0,04;7004;Advanced Economies
;1965;1,8;56,4;37,4;4,4;7,49;5,77;1,59;0,14;7643;Advanced Economies
;1970;1,6;32,5;59,7;6,1;8,48;5,82;2,46;0,2;8155;Advanced Economies
;1975;1,6;26,2;63,2;9;9,28;5,83;3,17;0,28;8730;Advanced Economies
;1980;1,5;20,8;65,9;11,8;9,87;5,84;3,65;0,37;9361;Advanced Economies
;1985;2;17,2;66,1;14,7;10,22;5,81;3,94;0,47;9922;Advanced Economies
;1990;1,5;15,6;64,9;18;10,59;5,85;4,17;0,57;10307;Advanced Economies
;1995;1,1;13,7;64,3;20,9;10,88;5,88;4,33;0,67;10569;Advanced Economies
;2000;0,8;11,8;65,9;21,4;11,14;5,9;4,53;0,7;10796;Advanced Economies
;2005;3,1;9;63,4;24,5;11,15;5,78;4,57;0,81;11033;Advanced Economies
;2010;0;8,3;63,6;28,1;11,71;5,97;4,81;0,93;11213;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
New Zealand;1870;29,1;70,7;0,2;0;3,58;3,56;0,01;0;140;Advanced Economies
;1875;27,7;72;0,3;0,1;3,47;3,44;0,02;0;172;Advanced Economies
;1880;25,4;73,9;0,5;0,2;3,62;3,59;0,03;0;232;Advanced Economies
;1885;21,8;77,1;0,8;0,3;3,86;3,79;0,05;0,01;272;Advanced Economies
;1890;18,8;78,8;2;0,4;4,12;4;0,11;0,01;323;Advanced Economies
;1895;15,6;81,6;2,3;0,5;4,35;4,2;0,13;0,01;393;Advanced Economies
;1900;12,9;84,7;1,9;0,6;4,5;4,36;0,12;0,01;432;Advanced Economies
;1905;9,8;88;1,7;0,5;4,68;4,56;0,11;0,01;527;Advanced Economies
;1910;8,9;84,9;5,4;0,8;5,04;4,72;0,3;0,02;608;Advanced Economies
;1915;6,8;82,9;9,3;1,1;5,48;4,96;0,5;0,03;734;Advanced Economies
;1920;5,2;80,6;12,8;1,3;5,87;5,16;0,68;0,03;698;Advanced Economies
;1925;4,3;76,4;18;1,3;6,31;5,35;0,93;0,03;824;Advanced Economies
;1930;3;71,9;23,2;1,8;6,84;5,57;1,23;0,04;975;Advanced Economies
;1935;2,3;64,1;30,1;3,4;7,57;5,8;1,68;0,09;943;Advanced Economies
;1940;2,3;59,6;34,4;3,8;7,95;5,92;1,94;0,1;1069;Advanced Economies
;1945;2;55,8;38;4,2;8,31;6,03;2,17;0,11;1097;Advanced Economies
;1950;1,7;45,6;47,7;5,1;9,34;6,28;2,91;0,14;1182;Advanced Economies
;1955;1,5;40,7;52,2;5,5;9,67;6,37;3,14;0,16;1277;Advanced Economies
;1960;1,6;33,7;58,8;5,9;10,12;6,46;3,5;0,17;1387;Advanced Economies
;1965;1,9;26,5;64,9;6,8;10,18;6,13;3,86;0,19;1557;Advanced Economies
;1970;1,7;19,2;62,4;16,7;11,17;6,4;4,29;0,48;1685;Advanced Economies
;1975;0,5;12;64,8;22,6;12,03;6,74;4,63;0,66;1889;Advanced Economies
;1980;0,7;21,2;49,6;28,5;11,81;6,8;4,17;0,84;1970;Advanced Economies
;1985;0,3;26,6;39,1;34,1;11,81;6,93;3,87;1,01;2115;Advanced Economies
;1990;0,1;30,9;30,9;38,1;11,69;6,77;3,79;1,13;2235;Advanced Economies
;1995;0,1;29,6;30,9;39,4;11,81;6,7;3,93;1,17;2390;Advanced Economies
;2000;0,1;27,6;31,9;40,4;11,98;6,65;4,14;1,2;2492;Advanced Economies
;2005;0,2;25,7;32;42,2;12;6,56;4,19;1,25;2672;Advanced Economies
;2010;1,1;32,2;31,8;34,9;11,12;6,39;3,68;1,04;2787;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Norway;1870;37,7;59,4;2,5;0,5;4,2;4,1;0,09;0,01;1018;Advanced Economies
;1875;35,2;61,1;3,2;0,5;4,44;4,31;0,12;0,01;1080;Advanced Economies
;1880;32,8;62,7;4,1;0,5;4,66;4,51;0,14;0,01;1123;Advanced Economies
;1885;30,5;64,1;4,8;0,5;4,89;4,71;0,17;0,01;1118;Advanced Economies
;1890;28,3;65,4;5,7;0,6;5,1;4,89;0,19;0,02;1122;Advanced Economies
;1895;25;67,7;6,6;0,6;5,4;5,16;0,22;0,02;1182;Advanced Economies
;1900;21,6;70,4;7,4;0,6;5,7;5,43;0,25;0,02;1277;Advanced Economies
;1905;17,5;73;8,8;0,7;6,06;5,75;0,29;0,02;1322;Advanced Economies
;1910;14,3;74,8;10;0,8;6,36;6;0,33;0,02;1374;Advanced Economies
;1915;11,2;76,7;11,2;0,9;6,62;6,22;0,38;0,03;1471;Advanced Economies
;1920;11,2;79,2;8,8;0,8;6,54;6,22;0,3;0,02;1598;Advanced Economies
;1925;8,9;80,2;9,9;1;6,75;6,37;0,35;0,03;1697;Advanced Economies
;1930;7,1;81,2;10,6;1,1;6,91;6,5;0,38;0,03;1779;Advanced Economies
;1935;5,7;81,8;11,3;1,2;7,04;6,6;0,4;0,03;1957;Advanced Economies
;1940;4,7;80,6;13,5;1,3;7,19;6,67;0,48;0,04;2015;Advanced Economies
;1945;3,6;79,8;15,1;1,5;7,34;6,75;0,55;0,04;2146;Advanced Economies
;1950;3,5;77,7;17,3;1,5;7,43;6,76;0,63;0,04;2151;Advanced Economies
;1955;2,9;79,3;16,2;1,6;7,45;6,8;0,61;0,05;2200;Advanced Economies
;1960;2,1;79,7;16,5;1,6;7,53;6,85;0,63;0,05;2256;Advanced Economies
;1965;2;72,8;20,1;5,1;7,96;6,86;0,96;0,14;2356;Advanced Economies
;1970;0,7;66,4;25,9;7;8,47;6,95;1,33;0,2;2429;Advanced Economies
;1975;2,3;58,4;30;9,3;8,77;6,83;1,68;0,26;2505;Advanced Economies
;1980;2,2;50,4;35,3;12,1;9,32;6,84;2,13;0,34;2578;Advanced Economies
;1985;0,8;36,9;46;16,2;10,16;6,81;2,89;0,46;2670;Advanced Economies
;1990;0,1;26,7;54,7;18,6;10,79;6,75;3,49;0,55;2745;Advanced Economies
;1995;0,2;19;57,4;23,4;11,31;6,65;3,98;0,69;2815;Advanced Economies
;2000;0,2;14,5;60,5;24,8;11,56;6,56;4,25;0,75;2912;Advanced Economies
;2005;3;0,4;69,5;27;11,91;6,29;4,79;0,82;3022;Advanced Economies
;2010;6,6;0,3;65,3;27,9;11,65;6,09;4,71;0,85;3118;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Portugal;1870;90,4;9,2;0,3;0,1;0,27;0,23;0,03;0;2658;Advanced Economies
;1875;87,9;11,5;0,5;0,2;0,34;0,3;0,04;0;2793;Advanced Economies
;1880;84,9;14,4;0,6;0,2;0,42;0,37;0,04;0;2822;Advanced Economies
;1885;81,3;17,9;0,7;0,2;0,51;0,45;0,05;0;2936;Advanced Economies
;1890;77,3;22;0,6;0,2;0,6;0,56;0,04;0;3060;Advanced Economies
;1895;72,9;26,3;0,6;0,2;0,71;0,67;0,04;0;3161;Advanced Economies
;1900;69,6;29,6;0,6;0,2;0,8;0,75;0,04;0,01;3273;Advanced Economies
;1905;67,8;31,2;0,7;0,2;0,87;0,8;0,06;0,01;3387;Advanced Economies
;1910;66,1;32,8;0,9;0,3;0,94;0,86;0,07;0,01;3546;Advanced Economies
;1915;64,4;34,3;1;0,4;1,01;0,92;0,08;0,01;3621;Advanced Economies
;1920;60,2;38,1;1,3;0,3;1,17;1,06;0,1;0,01;3679;Advanced Economies
;1925;58,1;40;1,5;0,4;1,26;1,14;0,11;0,01;3925;Advanced Economies
;1930;56,5;41,4;1,7;0,5;1,34;1,19;0,13;0,01;4210;Advanced Economies
;1935;54,3;42,9;2,2;0,6;1,46;1,27;0,17;0,02;4448;Advanced Economies
;1940;51,3;44,8;3,3;0,7;1,65;1,39;0,24;0,02;4731;Advanced Economies
;1945;47,7;47,5;4;0,8;1,84;1,53;0,29;0,02;5019;Advanced Economies
;1950;44,1;50,9;4,1;0,9;2,01;1,68;0,31;0,03;5341;Advanced Economies
;1955;39,8;54,6;4,6;1;2,2;1,83;0,34;0,03;5515;Advanced Economies
;1960;34,9;58,6;5,3;1,2;2,46;2,03;0,4;0,03;5568;Advanced Economies
;1965;36,7;55,3;6,6;1,5;2,64;2,09;0,5;0,04;5642;Advanced Economies
;1970;33,4;57;8,1;1,5;3,17;2,53;0,6;0,04;5386;Advanced Economies
;1975;25;58,4;13,7;2,9;4,27;3,17;1,02;0,08;5656;Advanced Economies
;1980;14,7;62,5;18,7;4,1;5,45;3,93;1,41;0,11;6211;Advanced Economies
;1985;11,3;59,9;22,4;6,4;6,08;4,26;1,65;0,17;6457;Advanced Economies
;1990;7,1;59,3;24,7;8,9;6,73;4,64;1,86;0,24;6608;Advanced Economies
;1995;5,4;53,4;28,6;12,6;7,49;4,93;2,24;0,32;6762;Advanced Economies
;2000;3,2;46,6;34,9;15,3;8,41;5,25;2,78;0,38;6916;Advanced Economies
;2005;4,5;46,6;37,2;11,6;8,12;5,37;2,46;0,3;7034;Advanced Economies
;2010;3,5;40,5;42,3;13,7;8,71;5,59;2,77;0,35;7138;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Spain;1870;74,2;25,3;0,3;0,2;1,63;1,6;0,02;0;10178;Advanced Economies
;1875;69,9;29,6;0,3;0,2;1,86;1,83;0,02;0,01;10364;Advanced Economies
;1880;64,9;34,5;0,3;0,2;2,19;2,16;0,03;0,01;10577;Advanced Economies
;1885;59,8;39,5;0,4;0,3;2,54;2,5;0,03;0,01;10697;Advanced Economies
;1890;55,6;43,7;0,4;0,3;2,84;2,8;0,03;0,01;10962;Advanced Economies
;1895;52,3;47;0,4;0,3;3,09;3,04;0,04;0,01;11161;Advanced Economies
;1900;50;49,2;0,4;0,4;3,27;3,22;0,04;0,01;11375;Advanced Economies
;1905;48,6;50,6;0,4;0,4;3,4;3,35;0,04;0,01;11620;Advanced Economies
;1910;47,9;51,2;0,4;0,4;3,49;3,43;0,04;0,01;11813;Advanced Economies
;1915;50,3;48,8;0,5;0,5;3,38;3,32;0,05;0,01;12567;Advanced Economies
;1920;52,6;46,3;0,6;0,5;3,28;3,21;0,06;0,01;13292;Advanced Economies
;1925;54,8;43,9;0,7;0,6;3,2;3,12;0,07;0,02;13813;Advanced Economies
;1930;54,6;43,6;1;0,8;3,31;3,2;0,09;0,02;14701;Advanced Economies
;1935;55,5;42,3;1,4;0,8;3,31;3,18;0,11;0,02;15400;Advanced Economies
;1940;56,7;38,1;4,1;1,1;3,42;3,15;0,24;0,03;16441;Advanced Economies
;1945;54,8;39,1;4,8;1,3;3,66;3,32;0,3;0,04;17395;Advanced Economies
;1950;53,8;39,5;5,3;1,4;3,83;3,44;0,35;0,04;18377;Advanced Economies
;1955;51,7;41,2;5,5;1,6;4,04;3,61;0,38;0,05;18970;Advanced Economies
;1960;47,8;43,4;6,8;1,9;4,42;3,9;0,46;0,06;19601;Advanced Economies
;1965;42,6;46,2;8,9;2,2;4,7;4,04;0,59;0,07;20548;Advanced Economies
;1970;36,2;47,5;12,3;4;5,33;4,32;0,9;0,12;21036;Advanced Economies
;1975;30,4;43;20,4;6,3;6,19;4,53;1,47;0,19;22198;Advanced Economies
;1980;24,1;37,4;29,5;8,8;7,24;4,79;2,18;0,27;23556;Advanced Economies
;1985;22,1;33,8;35,1;9;7,24;4,68;2,29;0,28;24974;Advanced Economies
;1990;18,9;30,8;41,9;8,4;7,51;4,68;2,56;0,27;26257;Advanced Economies
;1995;13;25,1;45,7;16,3;8,72;4,9;3,31;0,51;27355;Advanced Economies
;2000;8,1;20,9;49,5;21,5;9,65;5,06;3,91;0,69;27984;Advanced Economies
;2005;0,9;19,8;53,4;25,8;10,64;5,34;4,46;0,84;29794;Advanced Economies
;2010;1;17,9;53,3;27,8;10,75;5,22;4,62;0,92;29893;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Sweden;1870;21,7;72;6,2;0,1;3,6;3,28;0,31;0;2506;Advanced Economies
;1875;20,1;73,3;6,5;0,1;3,71;3,37;0,33;0;2639;Advanced Economies
;1880;18,2;74,5;7,1;0,2;3,85;3,48;0,36;0;2782;Advanced Economies
;1885;16,6;75,7;7,6;0,2;3,98;3,58;0,39;0;2828;Advanced Economies
;1890;15,1;76,8;7,9;0,2;4,09;3,67;0,42;0,01;2824;Advanced Economies
;1895;13,7;78;8,2;0,2;4,21;3,77;0,44;0,01;2911;Advanced Economies
;1900;12,4;79,1;8,4;0,2;4,32;3,86;0,45;0,01;3018;Advanced Economies
;1905;11,2;80,2;8,5;0,2;4,42;3,95;0,47;0,01;3159;Advanced Economies
;1910;9,9;81,9;8,1;0,3;4,5;4,03;0,46;0,01;3277;Advanced Economies
;1915;8,1;84,2;7,4;0,3;4,59;4,15;0,44;0,01;3463;Advanced Economies
;1920;6,5;84,3;8,3;1;4,84;4,29;0,53;0,03;3638;Advanced Economies
;1925;5,2;84,4;8,8;1,6;5,06;4,41;0,61;0,04;3847;Advanced Economies
;1930;4,9;77,8;14,6;2,6;5,64;4,56;1;0,07;4024;Advanced Economies
;1935;3,8;77,3;15,6;3,2;5,89;4,69;1,11;0,09;4228;Advanced Economies
;1940;2,9;76,1;17,5;3,5;6,16;4,81;1,25;0,1;4444;Advanced Economies
;1945;2;73,7;20,2;4,1;6,53;4,93;1,47;0,12;4555;Advanced Economies
;1950;1,4;70,7;23,2;4,6;6,95;5,11;1,69;0,15;4651;Advanced Economies
;1955;0,9;67,5;26,3;5,3;7,28;5,2;1,91;0,17;4745;Advanced Economies
;1960;0,9;61,9;31,1;6;7,69;5,27;2,23;0,19;4939;Advanced Economies
;1965;1;56,7;35,5;6,8;8,12;5,37;2,53;0,22;5135;Advanced Economies
;1970;1,1;48,3;43,9;6,7;8,65;5,48;2,95;0,22;5268;Advanced Economies
;1975;1,7;36,9;49,4;12,1;9,62;5,56;3,67;0,39;5260;Advanced Economies
;1980;1,5;27,9;55,2;15,5;10,3;5,67;4,13;0,5;5328;Advanced Economies
;1985;1,6;22,9;57,5;18;10,65;5,71;4,35;0,58;5394;Advanced Economies
;1990;2,1;16,9;60,4;20,7;11,03;5,74;4,63;0,67;5502;Advanced Economies
;1995;2,2;11,6;63,6;22,5;11,41;5,78;4,9;0,73;5621;Advanced Economies
;2000;2;8,6;64,7;24,8;11,72;5,82;5,1;0,8;5709;Advanced Economies
;2005;2;5,3;68,7;24,3;11,86;5,86;5,21;0,8;5905;Advanced Economies
;2010;2,3;3,4;67,8;26,5;11,95;5,84;5,23;0,88;5983;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Switzerland;1870;25,7;72,8;1,4;0,1;4,09;4,03;0,06;0;1679;Advanced Economies
;1875;23,3;74,9;1,7;0,1;4,28;4,2;0,07;0;1727;Advanced Economies
;1880;20,7;77;2,2;0,2;4,47;4,38;0,09;0;1779;Advanced Economies
;1885;18,1;79;2,7;0,2;4,68;4,57;0,11;0,01;1803;Advanced Economies
;1890;15,4;81,1;3,3;0,2;4,91;4,77;0,13;0,01;1809;Advanced Economies
